AuthorID,Bio,Lname,Fname
1,Blah,Pringuer,Anna-maria
2,Blah Blah,Blasetti,Mariejeanne
3,Blah Blah Blah,Melato,Taddeusz
4,Blah Blah,Aingel,Heidi
5,Blah,Eastwell,Tann
6,Blah,McShirrie,Hank
7,Blah Blah,Muscat,Mignon
8,Blah Blah Blah,Bowick,Ivonne
9,Blah Blah,Bernetti,Allin
10,Blah,Toombs,Magdaia
11,Blah,Brunstan,Caty
12,Blah Blah,Jiri,Maddi
13,"John Ronald Reuel Tolkien,  was an English writer, poet, philologist, and university professor who is best known as the author of the classic high fantasy works The Hobbit, The Lord of the Rings, and The Silmarillion. He served as the Rawlinson and Bosworth Professor of Anglo-Saxon and Fellow of Pembroke College, Oxford, from 1925 to 1945 and Merton Professor of English Language and Literature and Fellow of Merton College, Oxford, from 1945 to 1959.",Tolkien,J.R.R.
14,Blah Blah,Blaxley,Daryle
15,Blah,Keyte,Chrystel
16,Blah,Sapsford,Lani
17,Blah Blah,Gadault,Ignacius
18,Blah Blah Blah,Jeckell,Karlotta
19,Blah Blah,L'Homme,Cassondra
20,Blah,Maypowder,Rodrique
21,Blah,Kearney,Maurice
22,Blah Blah,Sotworth,Emilia
23,Blah Blah Blah,Bridgwater,Amil
24,Blah Blah,Witherby,Hastings
25,Blah,Liepins,Mirella
26,Blah,Stranaghan,Blake
27,Blah Blah,Healeas,Gigi
28,Blah Blah Blah,Manktelow,Lezlie
29,Blah Blah,Adame,Markos
